Date: 2011-07-28
Station: K02

Time (s)      E (V/m)
77513.3451102  -0.05969384
77513.3451112  -0.05871725
77513.3451122  -0.05993799
77513.3451132  -0.05944969
77513.3451142  -0.05847311
77513.3451152  -0.05969384
77513.3451162  -0.06091457
77513.3451172  -0.05969384
77513.3451182  -0.06018213
77513.3451192  -0.06042628
77513.3451202  -0.06042628
77513.3451212  -0.06115872
77513.3451222  -0.06091457
77513.3451232  -0.06115872
77513.3451242  -0.05944969
77513.3451252  -0.05822896
77513.3451262  -0.05749652
77513.3451272  -0.05749652
77513.3451282  -0.05700823
77513.3451292  -0.05847311
77513.3451302  -0.05847311
77513.3451312  -0.05822896
77513.3451322  -0.05676408
77513.3451332  -0.05871725
77513.3451342  -0.05822896
77513.3451352  -0.05725237
77513.3451362  -0.05896140
77513.3451372  -0.05896140
77513.3451382  -0.05993799
77513.3451392  -0.06286775
77513.3451402  -0.06311189
77513.3451412  -0.06140287
77513.3451422  -0.05993799
77513.3451432  -0.06091457
77513.3451442  -0.06042628
77513.3451452  -0.05944969
77513.3451462  -0.05847311
77513.3451472  -0.05847311
77513.3451482  -0.05798481
77513.3451492  -0.05920555
77513.3451502  -0.05847311
77513.3451512  -0.05822896
77513.3451522  -0.05871725
77513.3451532  -0.05896140
77513.3451542  -0.05993799
77513.3451552  -0.06018213
77513.3451562  -0.05969384
77513.3451572  -0.06067043
77513.3451582  -0.06018213
77513.3451592  -0.06091457
77513.3451602  -0.06164701
77513.3451612  -0.06042628
77513.3451622  -0.05920555
77513.3451632  -0.05944969
77513.3451642  -0.06140287
77513.3451652  -0.06164701
77513.3451662  -0.06091457
77513.3451672  -0.05920555
77513.3451682  -0.05700823
77513.3451692  -0.05700823
77513.3451702  -0.05774067
77513.3451712  -0.05822896
77513.3451722  -0.05871725
77513.3451732  -0.05993799
77513.3451742  -0.05896140
77513.3451752  -0.05847311
77513.3451762  -0.05798481
77513.3451772  -0.05847311
77513.3451782  -0.05822896
77513.3451792  -0.05969384
77513.3451802  -0.06213531
77513.3451812  -0.06408848
77513.3451822  -0.06164701
77513.3451832  -0.06018213
77513.3451842  -0.05944969
77513.3451852  -0.05798481
77513.3451862  -0.05627579
77513.3451872  -0.05700823
77513.3451882  -0.05749652
77513.3451892  -0.05725237
77513.3451902  -0.05871725
77513.3451912  -0.05798481
77513.3451922  -0.05847311
77513.3451932  -0.05822896
77513.3451942  -0.05920555
77513.3451952  -0.05993799
77513.3451962  -0.06018213
77513.3451972  -0.06164701
77513.3451982  -0.06384433
77513.3451992  -0.06213531
77513.3452002  -0.05896140
77513.3452012  -0.05749652
77513.3452022  -0.05822896
77513.3452032  -0.05993799
77513.3452042  -0.05993799
77513.3452052  -0.05896140
77513.3452062  -0.06042628
77513.3452072  -0.06042628
77513.3452082  -0.06213531
77513.3452092  -0.06042628
77513.3452102  -0.05822896
77513.3452112  -0.05700823
77513.3452122  -0.05676408
77513.3452132  -0.05847311
77513.3452142  -0.05871725
77513.3452152  -0.06018213
77513.3452162  -0.05896140
77513.3452172  -0.05822896
77513.3452182  -0.05798481
77513.3452192  -0.05798481
77513.3452202  -0.05920555
77513.3452212  -0.06115872
77513.3452222  -0.06262360
77513.3452232  -0.05993799
77513.3452242  -0.05944969
77513.3452252  -0.05969384
77513.3452262  -0.05896140
77513.3452272  -0.05822896
77513.3452282  -0.05920555
77513.3452292  -0.06042628
77513.3452302  -0.06042628
77513.3452312  -0.05993799
77513.3452322  -0.05993799
77513.3452332  -0.06042628
77513.3452342  -0.06067043
77513.3452352  -0.05969384
77513.3452362  -0.05920555
77513.3452372  -0.05774067
77513.3452382  -0.05651993
77513.3452392  -0.05774067
77513.3452402  -0.05725237
77513.3452412  -0.05871725
77513.3452422  -0.05871725
77513.3452432  -0.05944969
77513.3452442  -0.05969384
77513.3452452  -0.05896140
77513.3452462  -0.06067043
77513.3452472  -0.06091457
77513.3452482  -0.06042628
77513.3452492  -0.06091457
77513.3452502  -0.06164701
77513.3452512  -0.06286775
77513.3452522  -0.06311189
77513.3452532  -0.06018213
77513.3452542  -0.05676408
77513.3452552  -0.05822896
77513.3452562  -0.05847311
77513.3452572  -0.05896140
77513.3452582  -0.05993799
77513.3452592  -0.06018213
77513.3452602  -0.05822896
77513.3452612  -0.05822896
77513.3452622  -0.05798481
77513.3452632  -0.05871725
77513.3452642  -0.05847311
77513.3452652  -0.05944969
77513.3452662  -0.06091457
77513.3452672  -0.06140287
77513.3452682  -0.05993799
77513.3452692  -0.05749652
77513.3452702  -0.05944969
77513.3452712  -0.06018213
77513.3452722  -0.05969384
77513.3452732  -0.06091457
77513.3452742  -0.05944969
77513.3452752  -0.05822896
77513.3452762  -0.05847311
77513.3452772  -0.05822896
77513.3452782  -0.05798481
77513.3452792  -0.05700823
77513.3452802  -0.05871725
77513.3452812  -0.06018213
